fecha,temperatura,presion,humedad,altura,alta_temperatura,nivel_temperatura
33972.0,24.5,790.3625,25.0791,2046.906,0,2
34094.0,24.49,790.4306,25.07031,2046.214,0,2
34216.0,24.47,790.4049,25.03516,2046.475,0,2
34338.0,24.45,790.4601,24.99902,2045.913,0,2
34460.0,24.43,790.4883,25.00879,2045.625,0,2
34582.0,24.41,790.4355,25.03027,2046.164,0,2
34704.0,24.39,790.4908,25.03809,2045.601,0,2
34826.0,24.38,790.5591,25.04004,2044.906,0,2
34948.0,24.37,790.492,25.15039,2045.588,0,2
35073.0,24.36,790.5669,25.08887,2044.827,0,2
35197.0,24.35,790.5745,25.10547,2044.75,0,2
35319.0,24.35,790.6015,25.11914,2044.473,0,2
35441.0,24.34,790.568,25.02051,2044.813,0,2
35563.0,24.34,790.6156,25.28418,2044.33,0,2
35685.0,24.33,790.5486,25.17383,2045.012,0,2
35807.0,24.32,790.5422,25.19727,2045.078,0,2
35929.0,24.31,790.6309,25.20215,2044.174,0,2
36051.0,24.29,790.7402,25.18848,2043.062,0,2
36173.0,24.28,790.7274,25.17773,2043.191,0,2
36295.0,24.25,790.7219,25.04102,2043.249,0,2
36417.0,24.23,790.723,25.14551,2043.239,0,2
36556.0,24.22,790.7372,25.13379,2043.093,0,2
36678.0,24.25,790.7964,25.1123,2042.491,0,2
36806.0,24.24,790.8105,25.1084,2042.346,0,2
36929.0,24.22,790.9265,25.09766,2041.167,0,2
37058.0,24.22,790.947,25.09277,2040.958,0,2
37181.0,24.2,790.8942,25.08398,2041.495,0,2
37304.0,24.19,790.8812,25.07227,2041.627,0,2
37426.0,24.19,790.8812,25.05762,2041.627,0,2
37559.0,24.18,790.8412,25.03809,2042.034,0,2
37682.0,24.16,790.9235,25.02441,2041.196,0,2
37804.0,24.16,790.9235,25.1084,2041.196,0,2
37927.0,24.13,790.9453,24.99707,2040.974,0,2
38049.0,24.14,790.8976,24.97168,2041.46,0,2
38171.0,24.13,790.8847,25.01074,2041.593,0,2
38293.0,24.13,790.9387,24.94043,2041.043,0,2
38416.0,24.13,790.8577,24.9668,2041.867,0,2
38538.0,24.13,790.9387,24.92578,2041.043,0,2
38660.0,24.13,790.8847,24.93359,2041.593,0,2
38782.0,24.13,790.9387,25.03809,2041.043,0,2
38904.0,24.13,790.9658,24.95801,2040.768,0,2
39026.0,24.13,790.9387,24.95996,2041.043,0,2
39148.0,24.13,790.9993,24.86133,2040.427,0,2
39270.0,24.15,790.9647,24.97949,2040.779,0,2
39392.0,24.16,791.0046,24.92676,2040.372,0,2
39514.0,24.16,791.0046,24.98535,2040.372,0,2
39637.0,24.18,791.0034,25.00195,2040.385,0,2
39759.0,24.2,791.0834,25.0127,2039.569,0,2
39881.0,24.2,790.9817,25.01074,2040.604,0,2
40003.0,24.2,791.0087,25.03906,2040.33,0,2
40125.0,24.19,791.0435,24.9834,2039.975,0,2
40247.0,24.19,790.9623,24.9707,2040.802,0,2
40369.0,24.18,791.0641,24.94824,2039.767,0,2
40491.0,24.17,791.0446,24.96387,2039.965,0,2
40613.0,24.18,791.0575,24.97168,2039.833,0,2
40735.0,24.17,791.024,25.06445,2040.174,0,2
